token	count_glob_pattern	count_read_file	log_lift_toward_glob_pattern_positive
FLAG:recent_action:ask_user|pair:glob_pattern>list_directory	1	7	-1.8884
tokens	12	1	1.8413
FLAG:recent_action:read_file|top:read_file	78	9	1.8329
figure	11	1	1.7579
FLAG:last_action:grep_search|pair:read_file>grep_search	54	7	1.7043
FLAG:last_action:run_bash|pair:read_file>list_directory	24	3	1.6670
newclient	17	2	1.6670
제각각이라	10	1	1.6670
들었어	10	1	1.6670
jwt	10	1	1.6670
FLAG:last_pair:run_tests>edit_file|pair:read_file>grep_search	10	1	1.6670
FLAG:recent_action:plan_task|pair:glob_pattern>list_directory	2	9	-1.6139
FLAG:recent_action:grep_search|pair:glob_pattern>list_directory	14	54	-1.6030
맞을까	9	1	1.5669
만들려고	9	1	1.5669
같네	9	1	1.5669
createuser	9	1	1.5669
FLAG:last_pair:glob_pattern>read_file	9	1	1.5669
FLAG:last_action:plan_task|pair:read_file>list_directory	9	1	1.5669
FLAG:top_lang:yaml|pair:glob_pattern>list_directory	2	8	-1.5027
괜찮으면요	14	2	1.4789
이렇게	3	11	-1.4685
모르니	8	1	1.4557
넣어서	8	1	1.4557
깨지지	8	1	1.4557
surface	8	1	1.4557
src/test/java/com/app	8	1	1.4557
renders	8	1	1.4557
mod	8	1	1.4557
hardcodes	8	1	1.4557
django	8	1	1.4557
couple	8	1	1.4557
convention	8	1	1.4557
takes	13	2	1.4075
handleclick	13	2	1.4075
entrypoint	18	3	1.3861
FLAG:last_pair:glob_pattern>grep_search|pair:read_file>grep_search	18	3	1.3861
FLAG:recent_action:glob_pattern|pair:glob_pattern>list_directory	5	16	-1.3776
FLAG:prompt_arg_ext:py|pair:read_file>glob_pattern	3	10	-1.3776
인터셉터	2	7	-1.3776
봐줘요	2	7	-1.3776
src/schemas/user.py	2	7	-1.3776
runner.rs	2	7	-1.3776
middleware	2	7	-1.3776
admin.py	2	7	-1.3776
FLAG:recent_action:web_search|pair:read_file>glob_pattern	2	7	-1.3776
한데	7	1	1.3305
파이프라인	7	1	1.3305
실행해서	7	1	1.3305
레포라	7	1	1.3305
나오네	7	1	1.3305
src/test/java/com/app:	7	1	1.3305
FLAG:prompt_intent_ask|top:glob_pattern	7	1	1.3305
FLAG:prompt_arg_ext:tsx|top:glob_pattern	7	1	1.3305
FLAG:last_pair:run_bash>read_file|top:read_file	7	1	1.3305
FLAG:last_pair:run_bash>read_file	7	1	1.3305
FLAG:last_pair:plan_task>grep_search|top:read_file	7	1	1.3305
FLAG:last_pair:list_directory>ask_user|top:read_file	7	1	1.3305
FLAG:last_pair:list_directory>ask_user	7	1	1.3305
FLAG:prompt_prompt_len_s|pair:glob_pattern>list_directory	12	34	-1.2942
FLAG:recent_action:grep_search|pair:read_file>grep_search	88	18	1.2863
dags/etl_users.py	21	4	1.2850
define	3	9	-1.2775
cmd:	3	9	-1.2775
FLAG:base_pair:glob_pattern>list_directory	24	65	-1.2623
test_dags.py	11	2	1.2471
src/routes/users.py	11	2	1.2471
FLAG:top_lang:py|pair:glob_pattern>list_directory	12	32	-1.2345
FLAG:recent_action:apply_patch|pair:read_file>glob_pattern	7	19	-1.2345
테스트부터	2	6	-1.2345
지우고	2	6	-1.2345
유틸	2	6	-1.2345
비어있는	2	6	-1.2345
되게	2	6	-1.2345
관련된	2	6	-1.2345
개가	2	6	-1.2345
src/screens:	2	6	-1.2345
slot	2	6	-1.2345
security	2	6	-1.2345
remember	2	6	-1.2345
plain	2	6	-1.2345
json.	2	6	-1.2345
eval.py	2	6	-1.2345
args	2	6	-1.2345
FLAG:prompt_test_words|pair:read_file>glob_pattern	2	6	-1.2345
FLAG:prompt_intent_lint|pair:glob_pattern>read_file	2	6	-1.2345
FLAG:last_pair:run_bash>list_directory|pair:read_file>glob_pattern	2	6	-1.2345
FLAG:last_pair:grep_search>apply_patch	2	6	-1.2345
FLAG:last_action:run_tests|pair:read_file>glob_pattern	2	6	-1.2345
이면	4	11	-1.2172
FLAG:recent_action:write_file|pair:read_file>grep_search	45	10	1.1874
의심돼	5	13	-1.1769
x	5	13	-1.1769
멀티스테이지로	3	8	-1.1663
듯한데	3	8	-1.1663
뒤져봐	3	8	-1.1663
k	3	8	-1.1663
패키지에	10	2	1.1561
있는지도	10	2	1.1561
읽어서	10	2	1.1561
internal/runner	10	2	1.1561
benches	10	2	1.1561
FLAG:last_pair:edit_file>run_tests|top:read_file	10	2	1.1561
FLAG:last_pair:edit_file>run_tests|pair:read_file>grep_search	10	2	1.1561
class	14	3	1.1424
FLAG:last_pair:write_file>run_bash|top:read_file	14	3	1.1424
FLAG:last_pair:write_file>run_bash	14	3	1.1424
FLAG:last_pair:run_bash>run_bash|top:read_file	14	3	1.1424
FLAG:prompt_prompt_len_m|pair:glob_pattern>list_directory	12	29	-1.1376
html	18	4	1.1347
models/marts/dim_users.sql	4	10	-1.1262
declared	4	10	-1.1262
FLAG:prompt_run_words|pair:read_file>glob_pattern	4	10	-1.1262
FLAG:last_pair:ask_user>grep_search|top:glob_pattern	21	5	1.0844
FLAG:top_lang:vue|pair:read_file>glob_pattern	6	14	-1.0813
FLAG:last_pair:ask_user>grep_search|pair:glob_pattern>read_file	17	4	1.0792
이벤트	13	3	1.0710
상태를	13	3	1.0710
FLAG:prompt_arg_ext:py|pair:read_file>list_directory	13	3	1.0710
FLAG:recent_action:read_file|pair:glob_pattern>list_directory	13	29	-1.0606
있었네	9	2	1.0561
쓸	9	2	1.0561
마트	9	2	1.0561
디펜던시	9	2	1.0561
들어가는	9	2	1.0561
나는지	9	2	1.0561
길이	9	2	1.0561
single	9	2	1.0561
cmd/root.go	9	2	1.0561
중에	24	6	1.0479
하게	3	7	-1.0411
사용자	3	7	-1.0411
모여	3	7	-1.0411
user.ts	3	7	-1.0411
too.	3	7	-1.0411
modules	3	7	-1.0411
fallback	3	7	-1.0411
응답	20	5	1.0367
js	20	5	1.0367
클래스가	4	9	-1.0262
plugins/	4	9	-1.0262
FLAG:last_action:run_tests|top:glob_pattern	4	9	-1.0262
FLAG:last_action:apply_patch|top:glob_pattern	4	9	-1.0262
cheers	6	13	-1.0098
FLAG:last_pair:run_tests>edit_file|pair:read_file>glob_pattern	6	13	-1.0098
원하세요	23	6	1.0062
바꾸길	23	6	1.0062
without	7	15	-1.0049
FLAG:prompt_intent_run_tests|pair:read_file>glob_pattern	7	15	-1.0049
돌리는	12	3	0.9940
src/routes/	12	3	0.9940
src/main/resources/application.yml	12	3	0.9940
FLAG:prompt_prompt_len_s|pair:read_file>glob_pattern	36	74	-0.9924
FLAG:last_pair:ask_user>grep_search	26	7	0.9833
되겠다	15	4	0.9578
그게	15	4	0.9578
*.vue	15	4	0.9578
요청	25	7	0.9448
code	25	7	0.9448
컨벤션이	8	2	0.9448
짰는지	8	2	0.9448
직렬화	8	2	0.9448
주세요	8	2	0.9448
맞을	8	2	0.9448
리팩터링	8	2	0.9448
누르면	8	2	0.9448
권장되는	8	2	0.9448
throwing	8	2	0.9448
task	8	2	0.9448
src/db/session.py	8	2	0.9448
region	8	2	0.9448
reading	8	2	0.9448
pinning	8	2	0.9448
layout.tsx	8	2	0.9448
goes	8	2	0.9448
FLAG:last_pair:web_search>web_search	8	2	0.9448
죄다	7	14	-0.9382
FLAG:prompt_arg_has_path|pair:glob_pattern>list_directory	7	14	-0.9382
spec	18	5	0.9341
FLAG:top_lang:java|pair:read_file>grep_search	18	5	0.9341
쪽은	6	12	-0.9329
include	6	12	-0.9329
FLAG:recent_action:lint_or_typecheck|pair:read_file>glob_pattern	6	12	-0.9329
FLAG:recent_action:apply_patch|top:glob_pattern	18	35	-0.9307
분기	5	10	-0.9256
used	5	10	-0.9256
hm	5	10	-0.9256
FLAG:top_lang:ts|pair:glob_pattern>grep_search	5	10	-0.9256
여기저기	4	8	-0.9149
어디야	4	8	-0.9149
submit	4	8	-0.9149
pyproject.toml	4	8	-0.9149
pydantic	4	8	-0.9149
precision	4	8	-0.9149
executor	4	8	-0.9149
FLAG:prompt_arg_ext:toml	4	8	-0.9149
FLAG:last_pair:grep_search>read_file|pair:glob_pattern>list_directory	4	8	-0.9149
FLAG:last_action:read_file|pair:glob_pattern>list_directory	4	8	-0.9149
처리가	11	3	0.9106
데이터를	11	3	0.9106
가는	11	3	0.9106
podfile	11	3	0.9106
benches/	11	3	0.9106
application.yml	11	3	0.9106
FLAG:top_lang:tsx|pair:glob_pattern>grep_search	11	3	0.9106
FLAG:prompt_arg_ext:ts|top:glob_pattern	11	3	0.9106
FLAG:last_pair:edit_file>run_tests	11	3	0.9106
FLAG:last_action:edit_file|pair:read_file>glob_pattern	12	23	-0.9102
FLAG:last_pair:grep_search>grep_search|top:glob_pattern	28	53	-0.9087
FLAG:last_pair:grep_search>grep_search	28	53	-0.9087
fastapi	24	7	0.9048
로직을	10	19	-0.8980
hey	10	19	-0.8980
통일하는	3	6	-0.8980
참조	3	6	-0.8980
제한	3	6	-0.8980
정렬	3	6	-0.8980
없구나	3	6	-0.8980
싶은데요	3	6	-0.8980
버전으로	3	6	-0.8980
롤백	3	6	-0.8980
wrong.	3	6	-0.8980
signature	3	6	-0.8980
reset	3	6	-0.8980
lol.	3	6	-0.8980
ingress.yaml	3	6	-0.8980
false	3	6	-0.8980
duplicate	3	6	-0.8980
db.ts	3	6	-0.8980
components/button.tsx	3	6	-0.8980
collate	3	6	-0.8980
big	3	6	-0.8980
FLAG:prompt_prompt_casual|pair:glob_pattern>grep_search	3	6	-0.8980
FLAG:last_pair:plan_task>list_directory|pair:read_file>list_directory	3	6	-0.8980
FLAG:last_pair:glob_pattern>grep_search|pair:read_file>glob_pattern	3	6	-0.8980
FLAG:last_pair:apply_patch>list_directory|top:read_file	3	6	-0.8980
FLAG:last_pair:apply_patch>list_directory	3	6	-0.8980
FLAG:last_pair:apply_patch>apply_patch|top:read_file	3	6	-0.8980
FLAG:last_pair:apply_patch>apply_patch|pair:read_file>grep_search	3	6	-0.8980
FLAG:last_action:apply_patch|pair:glob_pattern>read_file	3	6	-0.8980
FLAG:recent_action:run_bash|pair:read_file>list_directory	56	17	0.8931
통과	14	4	0.8911
수도	14	4	0.8911
모델에	14	4	0.8911
구조가	14	4	0.8911
references	14	4	0.8911
load_state	14	4	0.8911
FLAG:last_pair:run_bash>run_bash	14	4	0.8911
FLAG:recent_action:run_tests|pair:read_file>glob_pattern	28	52	-0.8899
theme	8	15	-0.8797
doesn	8	15	-0.8797
app:	8	15	-0.8797
etl_users	17	5	0.8785
defines:	58	18	0.8723
쪽으로	20	6	0.8697
FLAG:prompt_run_words|pair:glob_pattern>read_file	20	6	0.8697
파일이	22	40	-0.8667
go.sum	7	13	-0.8667
FLAG:prompt_intent_web|top:read_file	7	13	-0.8667
컨벤션	6	11	-0.8495
라우터에	6	11	-0.8495
ugh.	6	11	-0.8495
rerun	6	11	-0.8495
again	10	18	-0.8453
없이	9	16	-0.8310
entry	9	16	-0.8310
FLAG:last_pair:run_tests>list_directory	9	16	-0.8310
펼쳐서	5	9	-0.8255
