token	count_glob_pattern	count_grep_search	log_lift_toward_glob_pattern_positive
FLAG:last_pair:web_search>web_search|pair:glob_pattern>grep_search	8	1	1.6899
FLAG:last_pair:grep_search>edit_file|pair:glob_pattern>grep_search	8	1	1.6899
커서	1	7	-1.6541
migrate	1	7	-1.6541
FLAG:last_pair:plan_task>glob_pattern	1	7	-1.6541
FLAG:last_action:lint_or_typecheck|pair:grep_search>glob_pattern	1	7	-1.6541
FLAG:recent_action:read_file|top:grep_search	168	32	1.6010
lr	2	11	-1.5708
fallback	2	11	-1.5708
FLAG:last_pair:edit_file>edit_file|pair:grep_search>glob_pattern	2	11	-1.5708
FLAG:last_pair:read_file>grep_search	22	4	1.5647
위치	7	1	1.5647
엔진	7	1	1.5647
베스트프랙티스	7	1	1.5647
들어오는	7	1	1.5647
깨끗하네	7	1	1.5647
out.	7	1	1.5647
filter	7	1	1.5647
deployment	7	1	1.5647
config/urls.py	7	1	1.5647
clap	7	1	1.5647
FLAG:last_action:lint_or_typecheck|top:glob_pattern	7	1	1.5647
FLAG:last_pair:grep_search>read_file|pair:glob_pattern>grep_search	12	2	1.5647
FLAG:last_pair:read_file>grep_search|top:grep_search	21	4	1.5193
컴포넌트부터	11	2	1.4814
외부	11	2	1.4814
src/main/java/com/app	2	10	-1.4798
outputs.tf	2	10	-1.4798
being	2	10	-1.4798
FLAG:last_pair:list_directory>list_directory|top:grep_search	2	10	-1.4798
FLAG:last_pair:list_directory>list_directory|pair:grep_search>read_file	2	10	-1.4798
FLAG:last_pair:grep_search>edit_file|pair:glob_pattern>read_file	3	14	-1.4661
넣자	4	18	-1.4584
FLAG:last_action:read_file|top:grep_search	46	10	1.4434
동작	15	3	1.4434
FLAG:last_pair:ask_user>grep_search|top:glob_pattern	15	3	1.4434
FLAG:last_action:read_file|pair:grep_search>read_file	37	8	1.4396
FLAG:recent_action:glob_pattern|pair:glob_pattern>list_directory	6	25	-1.4116
FLAG:last_action:edit_file|pair:grep_search>glob_pattern	4	17	-1.4028
forgot	10	2	1.3904
audit	10	2	1.3904
FLAG:last_pair:ask_user>grep_search|pair:glob_pattern>read_file	10	2	1.3904
열어봐줘	2	9	-1.3797
깨졌지	2	9	-1.3797
asserts	2	9	-1.3797
돼있어	14	3	1.3767
FLAG:last_action:read_file|pair:glob_pattern>grep_search	14	3	1.3767
FLAG:recent_action:lint_or_typecheck|pair:grep_search>glob_pattern	3	12	-1.3177
FLAG:last_action:edit_file|pair:glob_pattern>grep_search	17	4	1.3134
FLAG:last_pair:list_directory>list_directory	5	19	-1.3104
파이프라인	9	2	1.2903
쪽을	9	2	1.2903
between	9	2	1.2903
FLAG:last_pair:web_search>web_search|top:glob_pattern	9	2	1.2903
FLAG:last_pair:web_search>web_search	9	2	1.2903
라고	2	8	-1.2685
뒤져봐	2	8	-1.2685
sets	2	8	-1.2685
middleware	2	8	-1.2685
healthcheck	2	8	-1.2685
FLAG:last_pair:edit_file>list_directory	2	8	-1.2685
FLAG:last_pair:grep_search>web_search|pair:glob_pattern>read_file	16	4	1.2546
만들	12	3	1.2283
FLAG:last_pair:run_bash>list_directory	5	17	-1.2022
FLAG:last_action:glob_pattern|pair:glob_pattern>list_directory	5	17	-1.2022
FLAG:prompt_intent_run_tests|pair:glob_pattern>grep_search	29	8	1.1996
중	8	2	1.1791
있어야	8	2	1.1791
이번에	8	2	1.1791
그걸	8	2	1.1791
startup	8	2	1.1791
models/marts/dim_users.sql	8	2	1.1791
join	8	2	1.1791
incremental	8	2	1.1791
bit	8	2	1.1791
FLAG:last_pair:grep_search>read_file|pair:glob_pattern>read_file	9	29	-1.1778
FLAG:last_action:read_file|pair:glob_pattern>read_file	9	29	-1.1778
FLAG:last_pair:read_file>edit_file|top:grep_search	18	5	1.1683
FLAG:last_pair:read_file>edit_file	18	5	1.1683
FLAG:recent_action:apply_patch|pair:grep_search>glob_pattern	18	56	-1.1612
newclient	11	3	1.1449
FLAG:top_lang:vue|pair:grep_search>glob_pattern	6	19	-1.1433
FLAG:top_lang:go|pair:grep_search>glob_pattern	4	13	-1.1433
확인해야겠다	3	10	-1.1433
renamed	3	10	-1.1433
FLAG:last_pair:run_bash>list_directory|top:grep_search	3	10	-1.1433
FLAG:last_pair:run_bash>list_directory|pair:grep_search>read_file	3	10	-1.1433
헤더가	2	7	-1.1433
하려는데	2	7	-1.1433
채우는	2	7	-1.1433
띄우는	2	7	-1.1433
넣어서	2	7	-1.1433
깨지나	2	7	-1.1433
template	2	7	-1.1433
prefix	2	7	-1.1433
grad	2	7	-1.1433
accumulation	2	7	-1.1433
FLAG:recent_action:lint_or_typecheck|top:read_file	2	7	-1.1433
FLAG:recent_action:lint_or_typecheck|pair:read_file>grep_search	2	7	-1.1433
FLAG:prompt_intent_list|pair:grep_search>glob_pattern	2	7	-1.1433
FLAG:prompt_intent_ask|pair:grep_search>read_file	2	7	-1.1433
FLAG:last_pair:list_directory>list_directory|top:read_file	2	7	-1.1433
FLAG:last_pair:list_directory>list_directory|pair:read_file>grep_search	2	7	-1.1433
FLAG:top_lang:tsx|pair:glob_pattern>grep_search	24	7	1.1391
메서드	14	4	1.1254
같던데	14	4	1.1254
denied:	14	4	1.1254
FLAG:last_pair:apply_patch>grep_search|pair:grep_search>glob_pattern	7	21	-1.0979
FLAG:last_pair:grep_search>glob_pattern|pair:glob_pattern>list_directory	5	15	-1.0808
FLAG:last_pair:edit_file>apply_patch	9	26	-1.0706
FLAG:prompt_search_words|pair:grep_search>glob_pattern	12	34	-1.0599
FLAG:recent_action:grep_search|pair:grep_search>read_file	112	37	1.0539
peek	16	5	1.0539
FLAG:prompt_test_words|pair:glob_pattern>grep_search	16	5	1.0539
순서로	10	3	1.0539
맞춰야	10	3	1.0539
metrics	10	3	1.0539
jwt	10	3	1.0539
flip	10	3	1.0539
FLAG:prompt_prompt_len_xs|pair:glob_pattern>grep_search	10	3	1.0539
FLAG:last_pair:plan_task>grep_search|pair:glob_pattern>read_file	10	3	1.0539
훅에	7	2	1.0539
한방에	7	2	1.0539
추가하면	7	2	1.0539
인라인으로	7	2	1.0539
디렉토리부터	7	2	1.0539
slow	7	2	1.0539
pkg/logger/	7	2	1.0539
parser.go	7	2	1.0539
inside	7	2	1.0539
createuser	7	2	1.0539
FLAG:prompt_arg_ext:py|pair:glob_pattern>list_directory	7	2	1.0539
FLAG:prompt_prompt_has_question|pair:grep_search>glob_pattern	18	50	-1.0489
FLAG:prompt_prompt_len_m|pair:grep_search>glob_pattern	32	88	-1.0465
title	3	9	-1.0432
persistent	3	9	-1.0432
os.environ	3	9	-1.0432
FLAG:last_pair:grep_search>ask_user	3	9	-1.0432
FLAG:last_action:ask_user|pair:glob_pattern>read_file	3	9	-1.0432
classes/functions:	72	24	1.0402
FLAG:recent_action:edit_file|pair:glob_pattern>list_directory	6	17	-1.0351
version	30	10	1.0217
FLAG:last_action:grep_search|pair:grep_search>read_file	56	19	1.0191
FLAG:last_pair:edit_file>apply_patch|top:grep_search	8	22	-1.0181
양쪽에	5	14	-1.0141
github/workflows	5	14	-1.0141
back	5	14	-1.0141
FLAG:prompt_has_question|pair:grep_search>glob_pattern	16	43	-1.0141
FLAG:prompt_intent_run_bash|pair:glob_pattern>read_file	18	6	1.0013
호스트	2	6	-1.0002
시리얼라이저	2	6	-1.0002
세이브	2	6	-1.0002
봐야겠어	2	6	-1.0002
박혀있는지부터	2	6	-1.0002
바꿔야겠다	2	6	-1.0002
들었나	2	6	-1.0002
그런가	2	6	-1.0002
경로로	2	6	-1.0002
검증하는지	2	6	-1.0002
node	2	6	-1.0002
n+1	2	6	-1.0002
decode	2	6	-1.0002
await	2	6	-1.0002
FLAG:prompt_test_words|pair:grep_search>glob_pattern	2	6	-1.0002
FLAG:prompt_intent_edit|pair:glob_pattern>read_file	2	6	-1.0002
FLAG:last_pair:write_file>edit_file|top:grep_search	2	6	-1.0002
FLAG:last_pair:write_file>edit_file	2	6	-1.0002
FLAG:last_pair:web_search>glob_pattern	2	6	-1.0002
FLAG:last_pair:apply_patch>run_bash|top:grep_search	2	6	-1.0002
FLAG:last_pair:apply_patch>run_bash	2	6	-1.0002
FLAG:last_pair:apply_patch>list_directory	2	6	-1.0002
FLAG:last_action:glob_pattern|pair:grep_search>list_directory	2	6	-1.0002
*.md	9	24	-0.9921
이메일	15	5	0.9914
FLAG:recent_action:read_file|pair:glob_pattern>grep_search	91	32	0.9904
FLAG:last_action:apply_patch|top:glob_pattern	4	11	-0.9830
FLAG:prompt_prompt_len_l|pair:grep_search>read_file	12	4	0.9770
없이	6	16	-0.9763
down	6	16	-0.9763
config/	20	7	0.9608
FLAG:last_pair:grep_search>web_search|top:glob_pattern	20	7	0.9608
FLAG:last_action:web_search|pair:glob_pattern>read_file	20	7	0.9608
찾아줄래요	9	3	0.9538
stuff	9	3	0.9538
src/components/	9	3	0.9538
parseconfig	9	3	0.9538
app/models.py	9	3	0.9538
FLAG:prompt_run_words|pair:glob_pattern>read_file	9	3	0.9538
FLAG:prompt_intent_run_tests|pair:grep_search>glob_pattern	7	18	-0.9476
pod	17	6	0.9457
FLAG:recent_action:web_search|pair:grep_search>glob_pattern	5	13	-0.9426
스텝	3	8	-0.9320
방식이	3	8	-0.9320
매	3	8	-0.9320
들어왔어	3	8	-0.9320
runner.rs	3	8	-0.9320
FLAG:last_pair:grep_search>ask_user|top:glob_pattern	3	8	-0.9320
한번에	8	20	-0.9251
넣으려고	14	5	0.9247
svg	14	5	0.9247
이름을	6	15	-0.9137
FLAG:last_action:apply_patch|pair:grep_search>glob_pattern	6	15	-0.9137
FLAG:prompt_prompt_len_l|top:grep_search	19	7	0.9108
파드가	6	2	0.9108
콕	6	2	0.9108
짰는지	6	2	0.9108
전체를	6	2	0.9108
있던가	6	2	0.9108
있는지도	6	2	0.9108
의존성에	6	2	0.9108
스테이징	6	2	0.9108
배지	6	2	0.9108
방법	6	2	0.9108
묶고	6	2	0.9108
레포라	6	2	0.9108
남	6	2	0.9108
나네	6	2	0.9108
걸어줘	6	2	0.9108
거기부터	6	2	0.9108
validation	6	2	0.9108
undefined	6	2	0.9108
src/models/transformer.py	6	2	0.9108
sketch	6	2	0.9108
signature	6	2	0.9108
registers	6	2	0.9108
provider	6	2	0.9108
models/staging/stg_users.sql	6	2	0.9108
left	6	2	0.9108
inline	6	2	0.9108
inherited	6	2	0.9108
hit	6	2	0.9108
databases	6	2	0.9108
could	6	2	0.9108
commit	6	2	0.9108
behavior	6	2	0.9108
FLAG:last_pair:ask_user>glob_pattern|pair:glob_pattern>read_file	6	2	0.9108
FLAG:last_pair:apply_patch>lint_or_typecheck|pair:grep_search>read_file	6	2	0.9108
FLAG:top_lang:py|pair:grep_search>glob_pattern	34	81	-0.9043
our	29	11	0.8973
통일하려고	11	4	0.8936
version.go	11	4	0.8936
training	11	4	0.8936
throttle	11	4	0.8936
schemas	11	4	0.8936
airflow.cfg	11	4	0.8936
src/test/java	4	10	-0.8920
keyerror	4	10	-0.8920
FLAG:top_lang:ts|pair:grep_search>glob_pattern	4	10	-0.8920
null	16	6	0.8869
much	16	6	0.8869
appreciated	16	6	0.8869
문자열	21	8	0.8833
깨지는지	21	8	0.8833
FLAG:prompt_list_words|pair:glob_pattern>grep_search	21	8	0.8833
FLAG:last_pair:grep_search>web_search	21	8	0.8833
FLAG:top_lang:rs|pair:grep_search>glob_pattern	8	19	-0.8750
FLAG:recent_action:run_bash|pair:grep_search>glob_pattern	8	19	-0.8750
비슷하게	5	12	-0.8657
src/main/java/com/app/service	5	12	-0.8657
define	5	12	-0.8657
directory:	9	21	-0.8615
FLAG:last_pair:apply_patch>grep_search|top:grep_search	9	21	-0.8615
