token	count_list_directory	count_grep_search	log_lift_toward_list_directory_positive
중복으로	8	3	1.4529
cuda	8	3	1.4529
FLAG:last_pair:edit_file>read_file|top:grep_search	8	3	1.4529
FLAG:last_pair:edit_file>read_file	8	3	1.4529
l	110	46	1.4311
read_file	186	78	1.4309
FLAG:recent_action:read_file	186	78	1.4309
FLAG:recent_action:read_file|top:grep_search	183	77	1.4275
src/main.py	10	4	1.4129
FLAG:prompt_prompt_len_s|pair:grep_search>glob_pattern	10	4	1.4129
FLAG:last_action:web_search|top:grep_search	10	4	1.4129
커넥션	12	5	1.3865
gets	12	5	1.3865
FLAG:last_pair:run_bash>run_bash|pair:list_directory>read_file	3	24	-1.3803
잡아줄래	2	17	-1.3803
의심돼	1	10	-1.3803
뭐로	1	10	-1.3803
메서드	1	10	-1.3803
꼬인	1	10	-1.3803
검증을	1	10	-1.3803
jest	1	10	-1.3803
probably	14	6	1.3679
best	16	7	1.3540
리팩터링	3	23	-1.3387
found	76	35	1.3333
환경	7	3	1.3277
빼서	7	3	1.3277
workflow	7	3	1.3277
save	7	3	1.3277
runtime	7	3	1.3277
react	7	3	1.3277
people	7	3	1.3277
mask	7	3	1.3277
FLAG:last_pair:run_bash>ask_user|pair:list_directory>read_file	7	3	1.3277
FLAG:last_pair:read_file>plan_task|pair:grep_search>list_directory	2	16	-1.3215
FLAG:last_pair:glob_pattern>glob_pattern|top:list_directory	9	4	1.3128
FLAG:recent_action:web_search|pair:grep_search>read_file	21	10	1.2822
까지	1	9	-1.2803
거라	1	9	-1.2803
모르겠네	16	8	1.2289
뜨는데	16	8	1.2289
FLAG:last_pair:glob_pattern>glob_pattern	14	7	1.2248
굿	10	5	1.2122
trace	10	5	1.2122
onpress	10	5	1.2122
FLAG:recent_action:web_search|top:grep_search	25	13	1.2016
이름들	8	4	1.2016
여기서	8	4	1.2016
검색해줄래	8	4	1.2016
v2	8	4	1.2016
src/components/button.tsx	8	4	1.2016
password	8	4	1.2016
one.	8	4	1.2016
FLAG:prompt_prompt_casual|pair:list_directory>grep_search	8	4	1.2016
FLAG:prompt_prompt_casual|pair:grep_search>list_directory	8	4	1.2016
FLAG:last_pair:run_bash>ask_user|top:list_directory	8	4	1.2016
FLAG:last_action:web_search|pair:grep_search>read_file	8	4	1.2016
단계에서	2	14	-1.1923
FLAG:top_lang:java|pair:list_directory>glob_pattern	2	14	-1.1923
이름이랑	6	3	1.1846
순서대로	6	3	1.1846
셋업	6	3	1.1846
x	6	3	1.1846
resolves	6	3	1.1846
ones	6	3	1.1846
native	6	3	1.1846
huh.	6	3	1.1846
FLAG:last_pair:glob_pattern>list_directory|top:read_file	6	3	1.1846
FLAG:last_pair:glob_pattern>list_directory|pair:read_file>grep_search	6	3	1.1846
FLAG:last_pair:edit_file>ask_user|pair:grep_search>read_file	6	3	1.1846
하드코딩된	1	8	-1.1690
있으니까	1	8	-1.1690
여기에	1	8	-1.1690
애매한데	1	8	-1.1690
빠졌네	1	8	-1.1690
거랑	1	8	-1.1690
somewhere.	1	8	-1.1690
amp	1	8	-1.1690
update	13	7	1.1534
read	155	86	1.1521
FLAG:top_lang:vue|pair:list_directory>grep_search	27	15	1.1389
fastapi	18	10	1.1320
affected	2	13	-1.1208
돼서	9	5	1.1121
why	9	5	1.1121
include	9	5	1.1121
FLAG:top_lang:yaml|pair:list_directory>read_file	13	71	-1.1014
FLAG:last_pair:read_file>plan_task|top:grep_search	3	18	-1.0994
FLAG:last_pair:read_file>plan_task	3	18	-1.0994
해야	12	7	1.0764
제일	7	4	1.0764
부르는지	7	4	1.0764
나와	7	4	1.0764
기존에	7	4	1.0764
training	7	4	1.0764
list_display	7	4	1.0764
android/app/build.gradle	7	4	1.0764
FLAG:last_pair:plan_task>read_file	7	4	1.0764
isn	20	12	1.0603
next	15	9	1.0551
FLAG:prompt_intent_grep|pair:list_directory>grep_search	23	14	1.0484
wire	10	6	1.0451
referenced	10	6	1.0451
called	10	6	1.0451
lets	2	12	-1.0439
FLAG:recent_action:lint_or_typecheck|pair:grep_search>list_directory	2	12	-1.0439
FLAG:last_action:plan_task|pair:grep_search>list_directory	4	22	-1.0439
하자	1	7	-1.0439
찾아봐줄래요	1	7	-1.0439
주문	1	7	-1.0439
쓴	1	7	-1.0439
삭제	1	7	-1.0439
빌드해서	1	7	-1.0439
병렬	1	7	-1.0439
들었는데	1	7	-1.0439
남	1	7	-1.0439
같은게	1	7	-1.0439
shared	1	7	-1.0439
markup	1	7	-1.0439
lib.rs	1	7	-1.0439
is.	1	7	-1.0439
few	1	7	-1.0439
cleanly	1	7	-1.0439
FLAG:top_lang:ts|pair:list_directory>glob_pattern	1	7	-1.0439
FLAG:recent_action:lint_or_typecheck|top:read_file	1	7	-1.0439
FLAG:recent_action:lint_or_typecheck|pair:read_file>grep_search	1	7	-1.0439
FLAG:last_pair:write_file>edit_file|top:grep_search	1	7	-1.0439
FLAG:last_pair:write_file>edit_file	1	7	-1.0439
FLAG:last_pair:plan_task>run_bash|top:list_directory	1	7	-1.0439
FLAG:last_action:lint_or_typecheck|pair:grep_search>list_directory	1	7	-1.0439
콜백	5	3	1.0176
코드에서	5	3	1.0176
추가할	5	3	1.0176
조회가	5	3	1.0176
제각각이라	5	3	1.0176
정해줘	5	3	1.0176
정의됐는지	5	3	1.0176
일어나는지	5	3	1.0176
시리얼라이저	5	3	1.0176
베스트프랙티스	5	3	1.0176
매번	5	3	1.0176
디펜던시	5	3	1.0176
관련된	5	3	1.0176
them.	5	3	1.0176
thats	5	3	1.0176
select_related	5	3	1.0176
runner.go	5	3	1.0176
loop.	5	3	1.0176
iam	5	3	1.0176
forget	5	3	1.0176
filenotfounderror:	5	3	1.0176
config/settings.py	5	3	1.0176
badge	5	3	1.0176
FLAG:prompt_arg_ext:md|top:grep_search	5	3	1.0176
FLAG:last_pair:glob_pattern>glob_pattern|pair:list_directory>read_file	5	3	1.0176
FLAG:last_action:edit_file|top:read_file	5	3	1.0176
FLAG:last_action:edit_file|pair:read_file>grep_search	5	3	1.0176
라우팅이	8	5	1.0009
support	8	5	1.0009
src/main/java/com/app/repository/userrepository.java	8	5	1.0009
secret	8	5	1.0009
now.	8	5	1.0009
FLAG:last_pair:run_bash>ask_user	8	5	1.0009
tests/test_dags.py	11	7	0.9930
pod	11	7	0.9930
place	11	7	0.9930
disabled	11	7	0.9930
directly	11	7	0.9930
FLAG:prompt_arg_ext:py|pair:grep_search>read_file	14	9	0.9884
svg	2	11	-0.9605
integration.rs	2	11	-0.9605
FLAG:prompt_intent_web|pair:list_directory>read_file	2	11	-0.9605
FLAG:base_pair:grep_search>glob_pattern	21	14	0.9595
에도	18	12	0.9576
raw	15	10	0.9550
bug	15	10	0.9550
있지	9	6	0.9451
practices	9	6	0.9451
FLAG:recent_action:plan_task|top:read_file	9	6	0.9451
FLAG:recent_action:plan_task|pair:read_file>grep_search	9	6	0.9451
FLAG:top_lang:yaml|pair:list_directory>grep_search	25	17	0.9420
통일하고	6	4	0.9333
읽어서	6	4	0.9333
의존성부터	6	4	0.9333
의심스러운데	6	4	0.9333
열어봐줘	6	4	0.9333
어텐션	6	4	0.9333
어쩌고	6	4	0.9333
어디로	6	4	0.9333
보려고	6	4	0.9333
맞을지	6	4	0.9333
막막한데	6	4	0.9333
src/runner.rs	6	4	0.9333
src/db/session.py	6	4	0.9333
pr	6	4	0.9333
k8s/	6	4	0.9333
doing	6	4	0.9333
dedup	6	4	0.9333
changed	6	4	0.9333
app/layout.tsx	6	4	0.9333
FLAG:last_pair:plan_task>read_file|top:grep_search	6	4	0.9333
FLAG:last_pair:plan_task>read_file|pair:grep_search>read_file	6	4	0.9333
FLAG:last_pair:apply_patch>lint_or_typecheck|pair:grep_search>read_file	6	4	0.9333
FLAG:last_action:glob_pattern|top:read_file	6	4	0.9333
FLAG:last_action:glob_pattern|pair:read_file>grep_search	6	4	0.9333
FLAG:turn:12	72	50	0.9272
own	3	15	-0.9225
부분이	13	9	0.9170
doesn	13	9	0.9170
*.txt	20	14	0.9118
tsconfig.json	17	12	0.9020
똑같이	10	7	0.9020
level	10	7	0.9020
FLAG:last_action:plan_task|pair:list_directory>read_file	28	122	-0.8926
tests:	14	10	0.8883
pressure	14	10	0.8883
FLAG:prompt_has_question|pair:list_directory>glob_pattern	5	23	-0.8867
auth	33	24	0.8784
연결	7	5	0.8757
쓰게	7	5	0.8757
비교	7	5	0.8757
데서도	7	5	0.8757
then.	7	5	0.8757
source	7	5	0.8757
sorry	7	5	0.8757
scripts/deploy.sh	7	5	0.8757
FLAG:last_pair:edit_file>run_bash|pair:grep_search>read_file	7	5	0.8757
결과	2	10	-0.8695
tests/test_auth.py	2	10	-0.8695
oh	2	10	-0.8695
lr	2	10	-0.8695
create	2	10	-0.8695
FLAG:last_pair:run_bash>run_bash|top:list_directory	7	31	-0.8695
actual	11	8	0.8678
