token	count_read_file	count_grep_search	log_lift_toward_read_file_positive
FLAG:last_pair:plan_task>web_search|top:read_file	0	13	-2.7939
FLAG:base_pair:read_file>list_directory	12	330	-2.7729
FLAG:last_pair:read_file>read_file|pair:grep_search>read_file	14	1	2.7706
FLAG:base_pair:grep_search>list_directory	98	10	2.7406
FLAG:recent_action:apply_patch|top:list_directory	0	12	-2.7169
FLAG:prompt_run_words|pair:read_file>list_directory	0	12	-2.7169
FLAG:prompt_arg_has_path|pair:list_directory>read_file	0	12	-2.7169
FLAG:last_pair:list_directory>grep_search|pair:read_file>list_directory	0	12	-2.7169
FLAG:last_pair:lint_or_typecheck>lint_or_typecheck	0	12	-2.7169
FLAG:last_pair:read_file>glob_pattern	22	2	2.6992
FLAG:recent_action:glob_pattern|pair:grep_search>list_directory	13	1	2.6992
FLAG:prompt_prompt_len_m|pair:read_file>list_directory	6	154	-2.6664
sitting	0	11	-2.6335
FLAG:recent_action:run_tests|pair:list_directory>read_file	0	11	-2.6335
FLAG:recent_action:glob_pattern|top:list_directory	0	11	-2.6335
FLAG:recent_action:apply_patch|pair:list_directory>read_file	0	11	-2.6335
FLAG:prompt_prompt_has_question|pair:list_directory>read_file	0	11	-2.6335
FLAG:last_pair:plan_task>list_directory|pair:read_file>list_directory	0	11	-2.6335
FLAG:last_pair:lint_or_typecheck>lint_or_typecheck|top:read_file	0	11	-2.6335
FLAG:last_pair:lint_or_typecheck>lint_or_typecheck|pair:read_file>grep_search	0	11	-2.6335
FLAG:last_pair:read_file>grep_search|top:grep_search	44	5	2.5927
FLAG:top_lang:py|pair:grep_search>list_directory	43	5	2.5700
FLAG:last_pair:edit_file>edit_file|top:grep_search	27	3	2.5634
FLAG:recent_action:run_tests|pair:grep_search>list_directory	19	2	2.5561
FLAG:recent_action:plan_task|pair:read_file>list_directory	2	52	-2.5426
스테이지	0	10	-2.5426
thing.	0	10	-2.5426
plugins/	0	10	-2.5426
app/api/auth/route.ts	0	10	-2.5426
FLAG:top_lang:java|pair:read_file>glob_pattern	0	10	-2.5426
FLAG:recent_action:glob_pattern|pair:list_directory>read_file	0	10	-2.5426
FLAG:prompt_prompt_len_l|pair:read_file>list_directory	0	10	-2.5426
FLAG:prompt_has_question|pair:list_directory>read_file	0	10	-2.5426
FLAG:last_pair:run_bash>run_bash|pair:read_file>list_directory	0	10	-2.5426
FLAG:last_pair:plan_task>web_search|pair:read_file>grep_search	0	10	-2.5426
FLAG:last_pair:list_directory>write_file|pair:read_file>list_directory	0	10	-2.5426
FLAG:last_pair:lint_or_typecheck>list_directory|top:read_file	0	10	-2.5426
FLAG:last_pair:lint_or_typecheck>list_directory|pair:read_file>grep_search	0	10	-2.5426
FLAG:prompt_prompt_len_s|pair:grep_search>glob_pattern	11	1	2.5388
FLAG:prompt_arg_ext:txt|top:grep_search	11	1	2.5388
FLAG:last_pair:edit_file>edit_file|pair:grep_search>read_file	24	3	2.4479
FLAG:prompt_arg_ext:txt|pair:grep_search>read_file	10	1	2.4479
FLAG:last_pair:read_file>plan_task	10	1	2.4479
FLAG:last_action:write_file|top:read_file	2	47	-2.4425
작성해줘	0	9	-2.4425
상수가	0	9	-2.4425
들어가는지	0	9	-2.4425
노출하고	0	9	-2.4425
integrityerror	0	9	-2.4425
FLAG:recent_action:plan_task|pair:read_file>glob_pattern	0	9	-2.4425
FLAG:prompt_search_words|top:list_directory	0	9	-2.4425
FLAG:last_pair:write_file>run_bash|pair:read_file>list_directory	0	9	-2.4425
FLAG:last_pair:run_tests>read_file|top:read_file	0	9	-2.4425
FLAG:last_pair:run_tests>read_file|pair:read_file>grep_search	0	9	-2.4425
FLAG:last_pair:run_tests>read_file	0	9	-2.4425
FLAG:last_pair:run_bash>grep_search|pair:read_file>list_directory	0	9	-2.4425
FLAG:last_pair:run_bash>ask_user	0	9	-2.4425
FLAG:last_action:edit_file|pair:read_file>glob_pattern	0	9	-2.4425
FLAG:last_action:apply_patch|pair:read_file>list_directory	0	9	-2.4425
FLAG:last_pair:read_file>grep_search|pair:grep_search>read_file	37	5	2.4216
FLAG:prompt_prompt_len_m|pair:grep_search>list_directory	57	8	2.4137
FLAG:top_lang:tsx|pair:read_file>list_directory	1	27	-2.4068
FLAG:last_pair:list_directory>read_file	1	26	-2.3697
FLAG:last_pair:read_file>run_bash	22	3	2.3627
FLAG:top_lang:tsx|pair:grep_search>list_directory	9	1	2.3478
FLAG:prompt_arg_ext:json|top:grep_search	9	1	2.3478
FLAG:prompt_arg_has_path|pair:read_file>list_directory	4	77	-2.3442
FLAG:top_lang:ts|pair:read_file>list_directory	1	25	-2.3312
FLAG:last_action:plan_task|pair:read_file>list_directory	1	25	-2.3312
아마	0	8	-2.3312
보상	0	8	-2.3312
리비전	0	8	-2.3312
다른지부터	0	8	-2.3312
thought.	0	8	-2.3312
route.ts	0	8	-2.3312
helper.	0	8	-2.3312
FLAG:last_pair:write_file>list_directory|top:read_file	0	8	-2.3312
FLAG:last_pair:run_tests>ask_user|top:read_file	0	8	-2.3312
FLAG:last_pair:run_tests>ask_user	0	8	-2.3312
FLAG:last_pair:run_bash>list_directory|pair:read_file>list_directory	0	8	-2.3312
FLAG:last_pair:run_bash>ask_user|top:read_file	0	8	-2.3312
FLAG:last_action:web_search|pair:read_file>list_directory	0	8	-2.3312
FLAG:last_pair:read_file>edit_file	33	5	2.3088
FLAG:top_lang:vue|pair:read_file>list_directory	2	40	-2.2830
FLAG:prompt_has_question|pair:grep_search>list_directory	26	4	2.2750
FLAG:prompt_arg_ext:yaml|top:read_file	1	23	-2.2496
빠졌나	8	1	2.2366
FLAG:recent_action:lint_or_typecheck|pair:grep_search>list_directory	8	1	2.2366
FLAG:prompt_arg_ext:json|pair:grep_search>read_file	8	1	2.2366
FLAG:last_pair:apply_patch>glob_pattern|top:grep_search	8	1	2.2366
FLAG:last_action:apply_patch|pair:grep_search>list_directory	8	1	2.2366
FLAG:recent_action:list_directory|pair:read_file>list_directory	8	130	-2.2293
FLAG:prompt_prompt_has_question|pair:grep_search>list_directory	30	5	2.2149
FLAG:recent_action:edit_file|pair:read_file>list_directory	3	52	-2.2061
FLAG:last_action:lint_or_typecheck|top:read_file	3	52	-2.2061
FLAG:recent_action:apply_patch|pair:read_file>list_directory	1	22	-2.2061
FLAG:last_pair:run_bash>run_bash|top:read_file	1	22	-2.2061
FLAG:prompt_has_question|pair:read_file>list_directory	4	66	-2.1912
FLAG:last_pair:read_file>apply_patch	13	2	2.1884
FLAG:last_action:run_tests|pair:grep_search>list_directory	13	2	2.1884
FLAG:prompt_prompt_len_m|pair:read_file>glob_pattern	2	35	-2.1513
FLAG:last_action:lint_or_typecheck|pair:read_file>grep_search	3	49	-2.1472
FLAG:recent_action:glob_pattern|pair:read_file>list_directory	2	34	-2.1227
FLAG:prompt_arg_ext:yaml|pair:read_file>grep_search	1	20	-2.1130
FLAG:last_pair:run_bash>read_file|top:read_file	1	20	-2.1130
FLAG:last_pair:run_bash>read_file|pair:read_file>grep_search	1	20	-2.1130
FLAG:last_pair:edit_file>apply_patch|top:grep_search	22	4	2.1114
FLAG:last_pair:edit_file>run_bash|top:grep_search	17	3	2.1114
server.py	7	1	2.1114
FLAG:recent_action:glob_pattern|pair:grep_search>glob_pattern	7	1	2.1114
FLAG:prompt_test_words|pair:grep_search>list_directory	7	1	2.1114
FLAG:prompt_intent_run_bash|pair:grep_search>list_directory	7	1	2.1114
FLAG:prompt_intent_grep|pair:grep_search>list_directory	7	1	2.1114
FLAG:last_pair:apply_patch>grep_search|top:grep_search	7	1	2.1114
FLAG:last_pair:apply_patch>grep_search	7	1	2.1114
FLAG:last_pair:apply_patch>glob_pattern|pair:grep_search>read_file	7	1	2.1114
FLAG:prompt_prompt_has_question|pair:read_file>list_directory	5	74	-2.1041
FLAG:last_pair:edit_file>apply_patch|pair:grep_search>read_file	21	4	2.0659
FLAG:recent_action:run_tests|pair:read_file>list_directory	2	32	-2.0630
FLAG:top_lang:java|pair:grep_search>list_directory	16	3	2.0526
FLAG:last_pair:read_file>grep_search	44	9	2.0462
FLAG:prompt_intent_run_tests|pair:grep_search>list_directory	11	2	2.0280
FLAG:prompt_prompt_has_question|pair:read_file>glob_pattern	1	18	-2.0103
FLAG:last_pair:glob_pattern>run_bash	1	18	-2.0103
FLAG:recent_action:list_directory|pair:read_file>glob_pattern	2	30	-1.9995
FLAG:recent_action:ask_user|pair:read_file>list_directory	3	42	-1.9948
FLAG:last_pair:edit_file>run_bash|pair:grep_search>read_file	15	3	1.9900
FLAG:prompt_search_words|pair:grep_search>list_directory	27	6	1.9443
다크	10	2	1.9370
FLAG:last_pair:edit_file>lint_or_typecheck|top:grep_search	10	2	1.9370
FLAG:last_pair:edit_file>ask_user|top:grep_search	10	2	1.9370
FLAG:last_action:list_directory|pair:read_file>glob_pattern	2	27	-1.8959
FLAG:top_lang:yaml|pair:read_file>list_directory	1	16	-1.8959
FLAG:prompt_prompt_casual|pair:read_file>list_directory	1	16	-1.8959
FLAG:last_action:glob_pattern|pair:read_file>list_directory	1	16	-1.8959
lol.	9	2	1.8370
FLAG:last_pair:edit_file>run_tests|pair:grep_search>list_directory	9	2	1.8370
FLAG:last_action:run_bash|top:grep_search	62	16	1.8338
FLAG:last_action:apply_patch|top:grep_search	62	16	1.8338
낫겠다	1	15	-1.8334
FLAG:prompt_search_words|pair:read_file>list_directory	2	25	-1.8204
FLAG:last_pair:apply_patch>lint_or_typecheck|top:read_file	2	25	-1.8204
FLAG:last_action:list_directory|pair:read_file>list_directory	7	75	-1.8073
FLAG:last_action:run_bash|pair:grep_search>read_file	59	16	1.7846
FLAG:top_lang:py|pair:read_file>glob_pattern	2	24	-1.7804
FLAG:last_pair:apply_patch>apply_patch|top:grep_search	12	3	1.7749
FLAG:prompt_has_question|pair:read_file>glob_pattern	1	14	-1.7667
FLAG:prompt_arg_has_path|pair:read_file>glob_pattern	1	14	-1.7667
FLAG:recent_action:write_file|top:grep_search	57	16	1.7504
FLAG:last_pair:apply_patch>lint_or_typecheck|pair:read_file>grep_search	2	23	-1.7387
리스트가	8	2	1.7257
group	8	2	1.7257
FLAG:recent_action:run_bash|pair:grep_search>list_directory	8	2	1.7257
FLAG:last_action:apply_patch|pair:grep_search>read_file	52	15	1.7219
FLAG:base_pair:read_file>glob_pattern	7	68	-1.7100
FLAG:last_pair:edit_file>glob_pattern|top:grep_search	21	6	1.6982
FLAG:prompt_intent_glob|top:grep_search	11	3	1.6915
FLAG:recent_action:apply_patch|top:grep_search	162	49	1.6907
FLAG:recent_action:write_file|pair:grep_search>read_file	53	16	1.6783
FLAG:last_pair:run_bash>edit_file|top:read_file	3	30	-1.6630
FLAG:recent_action:read_file|top:grep_search	463	148	1.6402
FLAG:top_lang:rs|pair:read_file>list_directory	3	29	-1.6297
FLAG:top_lang:ts|top:grep_search	78	25	1.6264
FLAG:prompt_intent_grep|top:grep_search	47	15	1.6219
stores:	1	12	-1.6183
running	1	12	-1.6183
FLAG:last_pair:run_tests>apply_patch|top:read_file	1	12	-1.6183
FLAG:last_pair:run_bash>run_bash|pair:read_file>grep_search	1	12	-1.6183
FLAG:last_pair:list_directory>write_file|top:read_file	1	12	-1.6183
FLAG:last_pair:list_directory>list_directory|pair:read_file>list_directory	1	12	-1.6183
FLAG:top_lang:tsx|top:grep_search	98	32	1.6108
FLAG:last_pair:run_bash>read_file	2	20	-1.6022
FLAG:last_pair:lint_or_typecheck>edit_file|top:read_file	2	20	-1.6022
FLAG:last_pair:read_file>read_file	19	6	1.6006
FLAG:last_pair:edit_file>glob_pattern|pair:grep_search>read_file	19	6	1.6006
FLAG:last_action:web_search|top:grep_search	19	6	1.6006
FLAG:prompt_arg_ext:ts|top:grep_search	13	4	1.6006
FLAG:prompt_arg_ext:ts|pair:grep_search>read_file	13	4	1.6006
FLAG:prompt_intent_glob|pair:grep_search>read_file	10	3	1.6006
FLAG:last_pair:apply_patch>run_tests|top:grep_search	10	3	1.6006
났어	7	2	1.6006
FLAG:prompt_arg_ext:yaml|top:grep_search	7	2	1.6006
FLAG:prompt_arg_ext:yaml|pair:grep_search>read_file	7	2	1.6006
FLAG:last_pair:edit_file>ask_user|pair:grep_search>read_file	7	2	1.6006
FLAG:recent_action:read_file|pair:grep_search>read_file	431	148	1.5686
FLAG:last_action:write_file	6	51	-1.5678
FLAG:last_pair:run_tests>edit_file|top:read_file	4	35	-1.5635
FLAG:last_pair:lint_or_typecheck>edit_file|pair:read_file>grep_search	2	19	-1.5522
FLAG:prompt_arg_ext:tsx|top:grep_search	15	5	1.5381
FLAG:top_lang:tsx|pair:grep_search>read_file	88	31	1.5350
훅으로	1	11	-1.5349
안드	1	11	-1.5349
바퀴	1	11	-1.5349
같으니	1	11	-1.5349
composables:	1	11	-1.5349
FLAG:recent_action:run_bash|pair:read_file>glob_pattern	1	11	-1.5349
