token	count_list_directory	count_read_file	log_lift_toward_list_directory_positive
딥링크	7	2	1.4988
돼서	7	2	1.4988
깨끗하네	7	2	1.4988
watch	7	2	1.4988
file.	7	2	1.4988
FLAG:prompt_arg_ext:js|top:read_file	7	2	1.4988
FLAG:last_pair:list_directory>edit_file	7	2	1.4988
FLAG:last_pair:lint_or_typecheck>edit_file|pair:read_file>grep_search	7	2	1.4988
FLAG:last_pair:glob_pattern>glob_pattern|pair:read_file>grep_search	7	2	1.4988
FLAG:prompt_prompt_len_m|pair:list_directory>glob_pattern	5	36	-1.4924
FLAG:top_lang:ts|pair:list_directory>grep_search	2	16	-1.4869
FLAG:last_action:glob_pattern|pair:list_directory>grep_search	5	35	-1.4646
FLAG:prompt_intent_list|top:list_directory	4	28	-1.4456
파서	1	9	-1.4456
나열해줘	1	9	-1.4456
깨지는데	1	9	-1.4456
ingress.yaml	1	9	-1.4456
FLAG:prompt_test_words|pair:list_directory>grep_search	1	9	-1.4456
FLAG:last_action:run_bash|pair:list_directory>glob_pattern	1	9	-1.4456
FLAG:prompt_prompt_len_s|pair:read_file>glob_pattern	15	5	1.4363
FLAG:top_lang:py|pair:read_file>grep_search	246	87	1.4359
FLAG:top_lang:vue|pair:read_file>grep_search	57	20	1.4316
issues	26	9	1.4261
FLAG:prompt_intent_read|pair:list_directory>glob_pattern	2	15	-1.4243
FLAG:prompt_intent_run_bash|pair:read_file>grep_search	34	12	1.4154
tests/integration.rs	20	7	1.4057
인지	9	3	1.3987
들어오면	9	3	1.3987
amp	9	3	1.3987
FLAG:recent_action:web_search|top:read_file	36	13	1.3948
FLAG:top_lang:tsx|pair:read_file>grep_search	57	21	1.3839
FLAG:base_pair:list_directory>glob_pattern	13	79	-1.3729
FLAG:prompt_arg_has_path|pair:read_file>grep_search	151	57	1.3690
FLAG:prompt_intent_list|pair:list_directory>read_file	3	20	-1.3675
FLAG:recent_action:edit_file|pair:read_file>grep_search	153	58	1.3649
FLAG:last_pair:run_bash>run_bash|top:read_file	19	7	1.3557
테스트에서	6	2	1.3557
컴파일	6	2	1.3557
체크포인트	6	2	1.3557
찍는	6	2	1.3557
쓰는지부터	6	2	1.3557
손봐	6	2	1.3557
방향으로	6	2	1.3557
단계를	6	2	1.3557
zod	6	2	1.3557
util	6	2	1.3557
users.py	6	2	1.3557
src/db/session.py	6	2	1.3557
section	6	2	1.3557
password	6	2	1.3557
coverage	6	2	1.3557
config/settings.py	6	2	1.3557
FLAG:last_pair:run_tests>run_tests|top:read_file	6	2	1.3557
FLAG:last_pair:run_tests>list_directory|pair:read_file>grep_search	6	2	1.3557
FLAG:last_pair:edit_file>run_bash|pair:read_file>grep_search	6	2	1.3557
FLAG:prompt_search_words|pair:list_directory>grep_search	14	83	-1.3505
FLAG:prompt_intent_list|pair:read_file>grep_search	11	4	1.3385
FLAG:prompt_arg_has_path|pair:list_directory>grep_search	7	42	-1.3344
FLAG:top_lang:yaml|pair:list_directory>grep_search	4	25	-1.3344
하나로	1	8	-1.3344
찾아봐줄래요	1	8	-1.3344
모델들	1	8	-1.3344
거기에	1	8	-1.3344
hitting	1	8	-1.3344
FLAG:top_lang:yaml|pair:list_directory>glob_pattern	1	8	-1.3344
FLAG:top_lang:java|pair:list_directory>glob_pattern	1	8	-1.3344
FLAG:top_lang:go|pair:list_directory>glob_pattern	1	8	-1.3344
FLAG:recent_action:apply_patch|pair:list_directory>grep_search	1	8	-1.3344
FLAG:last_pair:apply_patch>plan_task	1	8	-1.3344
FLAG:base_pair:read_file>grep_search	543	216	1.3206
FLAG:recent_action:run_bash|pair:read_file>grep_search	112	45	1.3054
맞춰서	18	7	1.3031
FLAG:last_action:ask_user|pair:read_file>grep_search	18	7	1.3031
FLAG:prompt_intent_run_tests|pair:read_file>grep_search	40	16	1.2981
쓰이는지	13	5	1.2981
추가할	8	3	1.2875
추가한	8	3	1.2875
위에	8	3	1.2875
어떤지	8	3	1.2875
쓰는지도	8	3	1.2875
떴네	8	3	1.2875
test_dags.py	8	3	1.2875
src/screens	8	3	1.2875
source	8	3	1.2875
push	8	3	1.2875
early	8	3	1.2875
delete	8	3	1.2875
composable	8	3	1.2875
app/models.py	8	3	1.2875
FLAG:prompt_prompt_len_l|pair:read_file>grep_search	8	3	1.2875
FLAG:prompt_intent_ask|pair:read_file>grep_search	8	3	1.2875
FLAG:last_pair:edit_file>list_directory|top:read_file	8	3	1.2875
FLAG:last_pair:edit_file>list_directory	8	3	1.2875
FLAG:last_action:apply_patch|pair:list_directory>read_file	2	13	-1.2862
FLAG:recent_action:run_bash|pair:list_directory>grep_search	5	29	-1.2794
FLAG:base_pair:list_directory>grep_search	44	234	-1.2618
FLAG:top_lang:py|pair:list_directory>grep_search	16	86	-1.2566
FLAG:recent_action:plan_task|pair:list_directory>grep_search	4	23	-1.2527
FLAG:recent_action:ask_user|pair:list_directory>grep_search	4	23	-1.2527
FLAG:prompt_list_words|pair:read_file>grep_search	17	7	1.2475
selector	10	4	1.2475
FLAG:prompt_intent_web|pair:read_file>grep_search	10	4	1.2475
FLAG:prompt_run_words|pair:read_file>grep_search	19	8	1.2306
FLAG:last_action:run_tests|pair:read_file>grep_search	19	8	1.2306
FLAG:prompt_prompt_len_m|pair:list_directory>grep_search	22	114	-1.2269
중인데	12	5	1.2212
types	12	5	1.2212
practices	12	5	1.2212
nuxt.config.ts	12	5	1.2212
읽어줘	21	9	1.2170
FLAG:top_lang:go|pair:read_file>grep_search	39	17	1.2143
understand	2	12	-1.2092
these	2	12	-1.2092
FLAG:last_pair:plan_task>apply_patch|top:list_directory	2	12	-1.2092
추가했는데	1	7	-1.2092
도네	1	7	-1.2092
who	1	7	-1.2092
styling	1	7	-1.2092
src/main/resources/application.yml	1	7	-1.2092
serialize	1	7	-1.2092
head	1	7	-1.2092
handling	1	7	-1.2092
docker	1	7	-1.2092
audit	1	7	-1.2092
asserts	1	7	-1.2092
args	1	7	-1.2092
rewrite	14	6	1.2026
FLAG:prompt_intent_edit|pair:read_file>grep_search	14	6	1.2026
FLAG:last_pair:run_bash>run_bash|pair:read_file>list_directory	14	6	1.2026
FLAG:last_action:lint_or_typecheck|top:read_file	25	11	1.1965
FLAG:last_action:glob_pattern|top:read_file	47	21	1.1929
FLAG:prompt_prompt_len_s|pair:list_directory>grep_search	21	105	-1.1905
있고	16	7	1.1887
FLAG:last_pair:run_bash>run_bash|top:list_directory	9	46	-1.1880
FLAG:prompt_prompt_len_s|pair:list_directory>glob_pattern	8	41	-1.1854
FLAG:prompt_prompt_len_l|top:list_directory	8	41	-1.1854
FLAG:prompt_arg_ext:py|pair:read_file>grep_search	29	13	1.1819
FLAG:last_pair:plan_task>plan_task	4	21	-1.1638
FLAG:prompt_intent_list|top:read_file	22	10	1.1623
화면에서	7	3	1.1623
보이는데	7	3	1.1623
맞춰야	7	3	1.1623
맞아	7	3	1.1623
로직은	7	3	1.1623
로깅	7	3	1.1623
들었어	7	3	1.1623
돌리니까	7	3	1.1623
결과	7	3	1.1623
yet.	7	3	1.1623
transformer	7	3	1.1623
android/app/build.gradle	7	3	1.1623
FLAG:last_pair:list_directory>ask_user|top:read_file	7	3	1.1623
FLAG:last_pair:list_directory>ask_user	7	3	1.1623
string	24	11	1.1565
FLAG:prompt_arg_ext:py|top:read_file	47	22	1.1474
패치해줘	9	4	1.1474
얼마나	9	4	1.1474
양쪽	9	4	1.1474
받는지	9	4	1.1474
terraform:	9	4	1.1474
card	9	4	1.1474
FLAG:last_pair:edit_file>run_tests|pair:read_file>grep_search	9	4	1.1474
FLAG:recent_action:glob_pattern|top:read_file	116	55	1.1417
FLAG:top_lang:yaml|pair:read_file>grep_search	32	15	1.1406
FLAG:last_action:run_bash|pair:read_file>grep_search	32	15	1.1406
FLAG:recent_action:list_directory|pair:read_file>grep_search	299	143	1.1360
FLAG:prompt_read_words|top:read_file	257	123	1.1350
여러	13	6	1.1311
돌리는	13	6	1.1311
src/components/button.tsx	13	6	1.1311
FLAG:last_pair:run_tests>edit_file|top:read_file	13	6	1.1311
FLAG:last_pair:ask_user>list_directory|top:read_file	13	6	1.1311
컨트롤러	15	7	1.1261
FLAG:prompt_has_question|pair:list_directory>grep_search	12	57	-1.1259
FLAG:recent_action:lint_or_typecheck|top:read_file	68	33	1.1155
FLAG:recent_action:run_tests|top:read_file	102	50	1.1081
FLAG:top_lang:tsx|pair:list_directory>grep_search	3	15	-1.0879
FLAG:prompt_arg_has_path|pair:list_directory>glob_pattern	3	15	-1.0879
FLAG:last_pair:run_bash>run_bash|pair:list_directory>read_file	8	37	-1.0841
