token	count_run_bash	count_lint_or_typecheck	log_lift_toward_run_bash_positive
FLAG:last_action:glob_pattern|pair:lint_or_typecheck>run_bash	2	8	-1.3057
FLAG:last_action:list_directory|pair:run_bash>lint_or_typecheck	21	5	1.2814
FLAG:prompt_intent_lint|top:run_bash	142	36	1.2802
앱	3	11	-1.2715
tokenize	3	11	-1.2715
passes	3	11	-1.2715
FLAG:last_action:glob_pattern|top:lint_or_typecheck	3	11	-1.2715
FLAG:last_pair:glob_pattern>run_bash|top:run_bash	13	3	1.2680
FLAG:prompt_arg_has_path|pair:run_bash>lint_or_typecheck	47	12	1.2531
뭐로	9	2	1.2531
된	9	2	1.2531
composables	9	2	1.2531
빈	5	17	-1.2393
true	5	17	-1.2393
FLAG:prompt_prompt_len_m|pair:run_bash>lint_or_typecheck	111	30	1.2144
FLAG:last_pair:edit_file>lint_or_typecheck|top:lint_or_typecheck	11	35	-1.2091
FLAG:recent_action:apply_patch|pair:lint_or_typecheck>run_bash	63	194	-1.2013
FLAG:last_pair:grep_search>run_bash|pair:run_bash>lint_or_typecheck	12	3	1.1911
FLAG:last_pair:grep_search>grep_search|top:run_bash	12	3	1.1911
FLAG:last_action:run_tests|top:run_bash	12	3	1.1911
파싱	5	16	-1.1805
uh	5	16	-1.1805
rename	5	16	-1.1805
여기에	4	13	-1.1805
손보자	3	10	-1.1805
false	3	10	-1.1805
FLAG:last_action:write_file|pair:run_bash>run_tests	3	10	-1.1805
앱이	2	7	-1.1805
뒤에	2	7	-1.1805
되는	2	7	-1.1805
tiny	2	7	-1.1805
argparse	2	7	-1.1805
FLAG:last_pair:run_tests>apply_patch|pair:lint_or_typecheck>run_tests	2	7	-1.1805
FLAG:last_pair:write_file>run_bash|top:run_bash	22	6	1.1598
FLAG:last_pair:write_file>run_bash	22	6	1.1598
FLAG:last_pair:read_file>run_bash|top:run_bash	15	4	1.1549
이상	8	2	1.1419
next.js	8	2	1.1419
FLAG:last_pair:plan_task>apply_patch|top:run_bash	8	2	1.1419
FLAG:last_pair:plan_task>apply_patch|pair:run_bash>lint_or_typecheck	8	2	1.1419
FLAG:last_pair:list_directory>read_file|pair:run_bash>lint_or_typecheck	8	2	1.1419
FLAG:last_pair:glob_pattern>grep_search|top:run_bash	8	2	1.1419
affected	15	44	-1.1365
FLAG:prompt_test_words|pair:lint_or_typecheck>run_bash	7	21	-1.1350
scripts/	5	15	-1.1180
return	5	15	-1.1180
FLAG:recent_action:glob_pattern|pair:run_bash>lint_or_typecheck	90	27	1.1093
파일만	11	3	1.1077
쪽으로	11	3	1.1077
pages/	11	3	1.1077
directory:	11	3	1.1077
appheader	11	3	1.1077
FLAG:last_pair:grep_search>grep_search|pair:run_bash>lint_or_typecheck	11	3	1.1077
들어간	4	12	-1.1035
*.json	14	4	1.0882
FLAG:last_pair:lint_or_typecheck>apply_patch|pair:lint_or_typecheck>run_bash	7	20	-1.0874
싶다	3	9	-1.0804
usage	3	9	-1.0804
html	3	9	-1.0804
FLAG:last_action:run_bash|pair:run_bash>lint_or_typecheck	122	38	1.0756
FLAG:last_action:glob_pattern|pair:run_bash>lint_or_typecheck	17	5	1.0756
FLAG:prompt_prompt_casual|pair:run_bash>lint_or_typecheck	36	11	1.0731
FLAG:recent_action:write_file|pair:run_bash>run_tests	6	17	-1.0723
FLAG:prompt_intent_lint|pair:lint_or_typecheck>run_bash	23	62	-1.0600
받게	8	22	-1.0553
FLAG:prompt_prompt_casual|pair:lint_or_typecheck>run_bash	8	22	-1.0553
헐	5	14	-1.0513
로직이	5	14	-1.0513
파일로	32	10	1.0480
FLAG:last_action:lint_or_typecheck|pair:lint_or_typecheck>run_bash	18	48	-1.0457
FLAG:recent_action:lint_or_typecheck|pair:lint_or_typecheck>run_bash	52	137	-1.0447
타입체크	2	6	-1.0374
코드부터	2	6	-1.0374
재현되나	2	6	-1.0374
아니라	2	6	-1.0374
스킵하도록	2	6	-1.0374
비교하게	2	6	-1.0374
맞아	2	6	-1.0374
규모가	2	6	-1.0374
wrap	2	6	-1.0374
stops	2	6	-1.0374
parse	2	6	-1.0374
hardcoded	2	6	-1.0374
flaky	2	6	-1.0374
endpoint	2	6	-1.0374
dict	2	6	-1.0374
csv	2	6	-1.0374
crossed	2	6	-1.0374
FLAG:last_pair:web_search>edit_file|top:lint_or_typecheck	2	6	-1.0374
FLAG:last_pair:run_bash>lint_or_typecheck	2	6	-1.0374
넣어줘	24	63	-1.0342
FLAG:prompt_has_question|pair:lint_or_typecheck>run_bash	9	24	-1.0293
일	4	11	-1.0201
연결해줘	4	11	-1.0201
손봐	4	11	-1.0201
그런	4	11	-1.0201
pipeline	4	11	-1.0201
large.yaml	4	11	-1.0201
src/screens/profile.tsx	15	39	-1.0173
FLAG:prompt_arg_has_path|top:run_bash	52	17	1.0167
FLAG:top_lang:java|pair:run_bash>lint_or_typecheck	34	11	1.0167
type-check	13	4	1.0167
implement	13	4	1.0167
포맷	10	3	1.0167
regex:	10	3	1.0167
bet	10	3	1.0167
*.gradle	10	3	1.0167
쭉	7	2	1.0167
외부	7	2	1.0167
어떤지	7	2	1.0167
권장	7	2	1.0167
resolves	7	2	1.0167
app/api/auth/route.ts	7	2	1.0167
없으면	6	16	-1.0134
면	6	16	-1.0134
FLAG:prompt_intent_ask|pair:lint_or_typecheck>run_bash	6	16	-1.0134
FLAG:last_pair:lint_or_typecheck>edit_file|pair:lint_or_typecheck>run_bash	8	21	-1.0099
errors	20	51	-1.0030
FLAG:top_lang:py|pair:run_bash>lint_or_typecheck	190	64	1.0011
FLAG:top_lang:ts|pair:run_bash>lint_or_typecheck	45	15	0.9950
캐시	11	28	-0.9894
refresh	7	18	-0.9847
bug	7	18	-0.9847
FLAG:prompt_prompt_len_xs|pair:run_bash>lint_or_typecheck	91	31	0.9845
FLAG:top_lang:vue|pair:run_bash>lint_or_typecheck	53	18	0.9800
tf	5	13	-0.9798
FLAG:prompt_intent_list	24	8	0.9767
FLAG:base_second:lint_or_typecheck	537	187	0.9713
FLAG:base_pair:run_bash>lint_or_typecheck	537	187	0.9713
FLAG:prompt_intent_ask|top:lint_or_typecheck	10	25	-0.9692
추가해서	3	8	-0.9692
입력	3	8	-0.9692
올리고	3	8	-0.9692
모드로	3	8	-0.9692
동작을	3	8	-0.9692
swap	3	8	-0.9692
refresh_token	3	8	-0.9692
post	3	8	-0.9692
own	3	8	-0.9692
mock	3	8	-0.9692
checkpoint	3	8	-0.9692
FLAG:last_pair:read_file>edit_file|pair:lint_or_typecheck>run_tests	3	8	-0.9692
FLAG:recent_action:plan_task|top:run_bash	75	26	0.9651
FLAG:top_lang:rs|pair:run_bash>lint_or_typecheck	63	22	0.9556
점검해줘	15	5	0.9542
넣을	15	5	0.9542
ll	6	15	-0.9509
FLAG:recent_action:web_search|pair:lint_or_typecheck>run_bash	9	22	-0.9441
FLAG:prompt_list_words	62	22	0.9398
적용	12	4	0.9398
우선순위가	12	4	0.9398
되나요	12	4	0.9398
work	12	4	0.9398
router	23	8	0.9351
기본	4	10	-0.9292
감이	4	10	-0.9292
trying	4	10	-0.9292
src/main/java/com/app/usercontroller.java	4	10	-0.9292
runs	4	10	-0.9292
FLAG:last_action:grep_search|pair:lint_or_typecheck>run_tests	4	10	-0.9292
FLAG:prompt_has_question|top:lint_or_typecheck	16	38	-0.9292
FLAG:prompt_has_question|top:run_bash	31	11	0.9258
FLAG:prompt_prompt_has_question|top:run_bash	58	21	0.9191
FLAG:last_action:read_file|pair:run_bash>lint_or_typecheck	58	21	0.9191
한데	9	3	0.9167
포함해서	9	3	0.9167
포트	9	3	0.9167
이름을	9	3	0.9167
도메인	9	3	0.9167
데서도	9	3	0.9167
건드려야	9	3	0.9167
reload	9	3	0.9167
FLAG:last_pair:list_directory>read_file	9	3	0.9167
FLAG:last_action:list_directory|top:run_bash	28	10	0.9167
FLAG:prompt_intent_run_tests|pair:run_bash>lint_or_typecheck	90	33	0.9119
FLAG:prompt_prompt_len_s|pair:run_bash>lint_or_typecheck	333	123	0.9115
FLAG:last_pair:list_directory>write_file|pair:run_bash>lint_or_typecheck	17	6	0.9085
FLAG:recent_action:write_file|pair:run_bash>lint_or_typecheck	92	34	0.9044
실행	5	12	-0.9029
FLAG:prompt_prompt_len_xs|pair:run_bash>run_tests	9	21	-0.8986
FLAG:last_pair:grep_search>apply_patch|pair:lint_or_typecheck>run_bash	9	21	-0.8986
FLAG:top_lang:tsx|top:run_bash	152	57	0.8935
FLAG:top_lang:tsx|pair:run_bash>lint_or_typecheck	152	57	0.8935
FLAG:prompt_prompt_len_m|top:run_bash	125	47	0.8897
FLAG:prompt_has_question|pair:lint_or_typecheck>run_tests	6	14	-0.8842
FLAG:last_action:read_file|pair:lint_or_typecheck>run_bash	6	14	-0.8842
configs/large.yaml	11	25	-0.8782
FLAG:last_action:write_file|pair:run_bash>lint_or_typecheck	45	17	0.8736
태워줘	6	2	0.8736
컴파일	6	2	0.8736
중	6	2	0.8736
순서로	6	2	0.8736
손대기	6	2	0.8736
