token	count_glob_pattern	count_list_directory	log_lift_toward_glob_pattern_positive
FLAG:top_lang:ts|pair:glob_pattern>list_directory	21	2	1.6456
FLAG:last_pair:grep_search>ask_user|top:glob_pattern	21	2	1.6456
FLAG:last_pair:grep_search>ask_user	21	2	1.6456
여러	12	1	1.6141
돼있나	12	1	1.6141
pattern	12	1	1.6141
FLAG:last_pair:grep_search>ask_user|pair:glob_pattern>list_directory	12	1	1.6141
FLAG:last_action:ask_user|pair:glob_pattern>list_directory	12	1	1.6141
자동	2	7	-1.6047
post	2	7	-1.6047
FLAG:prompt_prompt_casual|pair:glob_pattern>read_file	2	7	-1.6047
FLAG:prompt_intent_glob|top:list_directory	2	7	-1.6047
FLAG:prompt_intent_grep|top:glob_pattern	20	2	1.5980
FLAG:recent_action:ask_user|pair:glob_pattern>list_directory	43	5	1.5619
흐름	19	2	1.5480
뭐부터	11	1	1.5307
wants	11	1	1.5307
FLAG:prompt_arg_ext:yml|top:glob_pattern	11	1	1.5307
suite	3	9	-1.5047
훑자	18	2	1.4953
FLAG:top_lang:tsx|pair:glob_pattern>list_directory	25	3	1.4798
FLAG:prompt_read_words|pair:glob_pattern>list_directory	97	13	1.4710
테스트도	4	11	-1.4444
FLAG:prompt_intent_run_tests|pair:list_directory>grep_search	4	11	-1.4444
FLAG:prompt_test_words|pair:glob_pattern>list_directory	24	3	1.4398
여기서	10	1	1.4398
받아서	10	1	1.4398
떴네	10	1	1.4398
src/main.py	10	1	1.4398
same	10	1	1.4398
register	10	1	1.4398
FLAG:prompt_intent_read|pair:glob_pattern>list_directory	120	17	1.4233
줄	16	2	1.3809
어디다	16	2	1.3809
FLAG:top_lang:rs|pair:glob_pattern>list_directory	35	5	1.3586
profile	22	3	1.3546
잡혀있나	9	1	1.3397
엔	9	1	1.3397
번째	9	1	1.3397
개선	9	1	1.3397
works	9	1	1.3397
style.css	9	1	1.3397
pages/	9	1	1.3397
named	9	1	1.3397
directly	9	1	1.3397
bump	9	1	1.3397
FLAG:prompt_prompt_len_xs|pair:glob_pattern>list_directory	9	1	1.3397
FLAG:last_action:ask_user|pair:glob_pattern>read_file	9	1	1.3397
우선순위가	15	2	1.3184
FLAG:last_pair:grep_search>grep_search|pair:glob_pattern>list_directory	89	14	1.3140
FLAG:last_pair:grep_search>plan_task|top:glob_pattern	57	9	1.2944
FLAG:last_pair:grep_search>plan_task	57	9	1.2944
FLAG:last_action:plan_task|pair:list_directory>read_file	62	10	1.2777
FLAG:recent_action:ask_user|pair:list_directory>grep_search	3	7	-1.2683
궁금	14	2	1.2517
support	14	2	1.2517
loader	14	2	1.2517
dbt_project.yml	14	2	1.2517
FLAG:last_action:plan_task|top:glob_pattern	60	10	1.2451
FLAG:top_lang:go|pair:list_directory>grep_search	5	11	-1.2437
FLAG:recent_action:run_bash|pair:list_directory>glob_pattern	5	11	-1.2437
FLAG:last_pair:glob_pattern>glob_pattern	6	13	-1.2370
FLAG:top_lang:yaml|pair:list_directory>grep_search	7	15	-1.2321
FLAG:recent_action:grep_search|pair:glob_pattern>list_directory	343	60	1.2304
FLAG:last_pair:grep_search>glob_pattern|pair:glob_pattern>list_directory	59	10	1.2285
FLAG:last_action:glob_pattern|pair:glob_pattern>list_directory	59	10	1.2285
커맨드	8	1	1.2285
절차	8	1	1.2285
빠르게	8	1	1.2285
깨졌나	8	1	1.2285
기본	8	1	1.2285
가는	8	1	1.2285
src/components/button.tsx	8	1	1.2285
recommended	8	1	1.2285
index.ts	8	1	1.2285
exp	8	1	1.2285
etl_users.py	8	1	1.2285
dig	8	1	1.2285
different	8	1	1.2285
appheader	8	1	1.2285
FLAG:prompt_intent_grep|pair:glob_pattern>read_file	8	1	1.2285
FLAG:last_pair:grep_search>ask_user|pair:glob_pattern>read_file	8	1	1.2285
FLAG:prompt_intent_run_tests|pair:glob_pattern>list_directory	42	7	1.2285
아예	25	4	1.2285
FLAG:recent_action:run_bash|pair:glob_pattern>list_directory	25	4	1.2285
json	19	3	1.2115
FLAG:last_action:grep_search|pair:glob_pattern>list_directory	102	18	1.2060
FLAG:prompt_arg_has_path|pair:glob_pattern>list_directory	90	16	1.1959
FLAG:prompt_arg_has_path|pair:list_directory>glob_pattern	14	28	-1.1819
보여줄래요	13	2	1.1803
기본값	13	2	1.1803
email	13	2	1.1803
FLAG:prompt_prompt_len_s|pair:glob_pattern>list_directory	164	30	1.1790
FLAG:prompt_prompt_len_s|pair:list_directory>glob_pattern	30	59	-1.1744
FLAG:last_action:plan_task	130	24	1.1666
FLAG:last_pair:grep_search>plan_task|pair:glob_pattern>list_directory	50	9	1.1645
FLAG:last_action:plan_task|pair:glob_pattern>list_directory	50	9	1.1645
FLAG:top_lang:py|pair:glob_pattern>list_directory	171	32	1.1572
fail:	5	10	-1.1528
l	228	43	1.1526
FLAG:prompt_list_words|pair:list_directory>grep_search	4	8	-1.1421
*.go	4	8	-1.1421
session	28	5	1.1390
FLAG:prompt_has_question|pair:glob_pattern>list_directory	110	21	1.1308
FLAG:prompt_has_question|pair:list_directory>glob_pattern	18	34	-1.1293
FLAG:base_second:list_directory	365	71	1.1254
FLAG:base_pair:glob_pattern>list_directory	365	71	1.1254
incremental	3	6	-1.1252
go.sum	3	6	-1.1252
FLAG:recent_action:plan_task|pair:list_directory>glob_pattern	3	6	-1.1252
FLAG:prompt_arg_ext:txt|top:list_directory	3	6	-1.1252
FLAG:recent_action:glob_pattern|pair:glob_pattern>list_directory	98	19	1.1135
FLAG:base_second:glob_pattern	69	127	-1.1129
FLAG:base_pair:list_directory>glob_pattern	69	127	-1.1129
model	27	5	1.1033
정의	22	4	1.1033
FLAG:recent_action:web_search|pair:glob_pattern>list_directory	22	4	1.1033
도는	17	3	1.1033
FLAG:last_pair:grep_search>web_search|pair:glob_pattern>read_file	17	3	1.1033
파이프라인	7	1	1.1033
통과	7	1	1.1033
이름만	7	1	1.1033
위에	7	1	1.1033
애매한데	7	1	1.1033
애매하네	7	1	1.1033
쓰나	7	1	1.1033
뭔가	7	1	1.1033
문자열	7	1	1.1033
레벨	7	1	1.1033
딱히	7	1	1.1033
들었어	7	1	1.1033
데이터를	7	1	1.1033
깔끔할지	7	1	1.1033
거기서	7	1	1.1033
strict	7	1	1.1033
src/main/resources/application.yml	7	1	1.1033
src/main/java/	7	1	1.1033
pyproject.toml	7	1	1.1033
keyerror	7	1	1.1033
figure	7	1	1.1033
dropout	7	1	1.1033
configs/	7	1	1.1033
cluster	7	1	1.1033
class	7	1	1.1033
changed	7	1	1.1033
FLAG:prompt_arg_ext:tsx|top:glob_pattern	7	1	1.1033
잘못	12	2	1.1033
되나요	12	2	1.1033
갈지	12	2	1.1033
verbose	12	2	1.1033
index.html	12	2	1.1033
fetchuser	12	2	1.1033
FLAG:top_lang:vue|pair:list_directory>glob_pattern	6	11	-1.0767
FLAG:last_action:plan_task|top:list_directory	70	14	1.0753
FLAG:top_lang:yaml|pair:glob_pattern>list_directory	31	6	1.0721
FLAG:prompt_prompt_len_m|pair:glob_pattern>list_directory	181	37	1.0708
logger	26	5	1.0663
FLAG:prompt_prompt_has_question|pair:list_directory>glob_pattern	21	37	-1.0624
FLAG:prompt_prompt_len_m|pair:list_directory>glob_pattern	36	63	-1.0599
FLAG:recent_action:run_tests|top:list_directory	9	16	-1.0582
get_user	21	4	1.0578
about	21	4	1.0578
deprecated	40	8	1.0551
라우팅	5	9	-1.0527
FLAG:top_lang:go|pair:glob_pattern>read_file	5	9	-1.0527
FLAG:prompt_intent_web|pair:list_directory>grep_search	5	9	-1.0527
FLAG:last_action:run_tests|top:list_directory	5	9	-1.0527
받게	16	3	1.0445
돼있는지	16	3	1.0445
since	16	3	1.0445
expire	16	3	1.0445
열어보자	30	6	1.0398
FLAG:recent_action:plan_task|pair:glob_pattern>list_directory	72	15	1.0366
FLAG:prompt_prompt_has_question|pair:glob_pattern>list_directory	123	26	1.0330
fix	25	5	1.0278
FLAG:prompt_search_words|pair:list_directory>glob_pattern	23	39	-1.0254
헷갈려	11	2	1.0199
하드코딩	11	2	1.0199
이름을	11	2	1.0199
싶다	11	2	1.0199
수도	11	2	1.0199
단계가	11	2	1.0199
나열해줘	11	2	1.0199
store.	11	2	1.0199
js	11	2	1.0199
change	11	2	1.0199
FLAG:recent_action:apply_patch|top:list_directory	7	12	-1.0170
FLAG:prompt_intent_run_tests|pair:list_directory>glob_pattern	7	12	-1.0170
metric	4	7	-1.0170
FLAG:recent_action:apply_patch|pair:glob_pattern>read_file	4	7	-1.0170
FLAG:margin_le:0.25	118	196	-1.0119
through	20	4	1.0102
폴더	29	6	1.0065
readme	29	6	1.0065
timeout	38	8	1.0045
events	38	8	1.0045
FLAG:top_lang:vue|pair:glob_pattern>list_directory	33	7	0.9905
ios	24	5	0.9878
header	24	5	0.9878
rate	15	3	0.9819
index	15	3	0.9819
뭐	81	18	0.9767
함수가	28	6	0.9720
봐야겠다	28	6	0.9720
fixme	28	6	0.9720
FLAG:top_lang:yaml|pair:list_directory>glob_pattern	8	13	-0.9688
FLAG:prompt_intent_grep|pair:list_directory>grep_search	8	13	-0.9688
small	19	4	0.9602
disabled	19	4	0.9602
FLAG:prompt_list_words|pair:glob_pattern>list_directory	32	7	0.9602
파일에서	3	5	-0.9581
통일하고	3	5	-0.9581
있네요	3	5	-0.9581
알아야	3	5	-0.9581
비밀번호	3	5	-0.9581
기대하는데	3	5	-0.9581
root.go	3	5	-0.9581
requests	3	5	-0.9581
radius	3	5	-0.9581
own	3	5	-0.9581
now.	3	5	-0.9581
mask	3	5	-0.9581
deploy.sh	3	5	-0.9581
blast	3	5	-0.9581
back	3	5	-0.9581
FLAG:recent_action:list_directory|pair:list_directory>grep_search	3	5	-0.9581
FLAG:prompt_intent_run_bash|pair:list_directory>glob_pattern	3	5	-0.9581
FLAG:prompt_arg_ext:sh	3	5	-0.9581
FLAG:last_pair:plan_task>list_directory|top:list_directory	3	5	-0.9581
FLAG:last_pair:ask_user>glob_pattern	3	5	-0.9581
FLAG:top_lang:java|pair:list_directory>glob_pattern	10	16	-0.9581
FLAG:top_lang:ts|pair:glob_pattern>read_file	5	8	-0.9415
보게	27	6	0.9362
FLAG:top_lang:go|pair:list_directory>glob_pattern	7	11	-0.9336
FLAG:last_action:run_tests	9	14	-0.9290
설정을	10	2	0.9289
붙이고	10	2	0.9289
맞는	10	2	0.9289
로컬에서	10	2	0.9289
들어가기	10	2	0.9289
느낌인데	10	2	0.9289
걸리네	10	2	0.9289
train.py	10	2	0.9289
imports	10	2	0.9289
global	10	2	0.9289
default	10	2	0.9289
currently	10	2	0.9289
함수들	11	17	-0.9260
FLAG:last_action:edit_file|pair:glob_pattern>list_directory	56	13	0.9254
read_file	360	86	0.9212
FLAG:recent_action:read_file|top:glob_pattern	360	86	0.9212
FLAG:recent_action:read_file	360	86	0.9212
vs	14	3	0.9153
dags/etl_users.py	14	3	0.9153
FLAG:prompt_prompt_casual|pair:glob_pattern>list_directory	14	3	0.9153
패키지	18	4	0.9076
본체	18	4	0.9076
